x (in),y (in)
-6.139311713,-3.416116298
-8.717506855,-3.367775139
-7.58954648,-3.367775139
-5.317512011,-3.3355477
-9.81323979,-3.287206541
-10.69949437,-3.222751662
-4.237892796,-3.158296784
-11.58574895,-3.045500746
-3.351638216,-2.997159587
-12.64925445,-2.819908671
-2.320360159,-2.578202877
-13.63219134,-2.481520559
-14.69569684,-2.110905007
-1.482446738,-1.917540372
-15.77531606,-1.595265979
-15.77531606,-1.595265979
-0.854011672,-1.192422988
-16.74213923,-1.09574067
-17.54782522,-0.709011399
-18.20848772,-0.64455652
-0.370600083,-0.418964445
-0.225576606,-0.016121454
-0.145008008,0.22558434
-0.080553129,0.483403855
-18.3535112,0.547858733
-17.67673497,0.741223369
-0.080553129,0.934588004
-16.90327643,0.999042883
-0.032227398,1.3857781
-16.04924929,1.434113313
-15.38858239,1.740279474
-0.14502329,2.046439752
-14.40564676,2.127008246
-13.40659743,2.449282223
-0.54786576,2.48150962
-12.69759468,2.642646609
-11.76300015,2.803783597
-1.176300015,2.884352091
-10.61892753,2.948806887
-9.764901493,3.109943875
-1.740279474,3.109943875
-9.007557648,3.17439867
-2.35260003,3.206626068
-8.056849417,3.271080863
-3.109943875,3.31942196
-7.235050776,3.335535659
-6.284342545,3.335535659
-4.576290469,3.367763056
-5.704249387,3.383876755
-4.044538407,3.383876755
-5.172497326,3.399990454
